"Tweet id","Tweet permalink","Tweet text","time","impressions","engagements","engagement rate","retweets","replies","likes","user profile clicks","url clicks","hashtag clicks","detail expands","permalink clicks","app opens","app installs","follows","email tweet","dial phone","media views","media engagements","promoted impressions","promoted engagements","promoted engagement rate","promoted retweets","promoted replies","promoted likes","promoted user profile clicks","promoted url clicks","promoted hashtag clicks","promoted detail expands","promoted permalink clicks","promoted app opens","promoted app installs","promoted follows","promoted email tweet","promoted dial phone","promoted media views","promoted media engagements"
"1332080057460789248","https://twitter.com/__mharrison__/status/1332080057460789248","@ferdinandyb @bascule CST trackball. You might be able to purchase on ebay... 😔","2020-11-26 21:53 +0000","68.0","1.0","0.014705882352941176","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331999584592171008","https://twitter.com/__mharrison__/status/1331999584592171008","Pilgrimage to see the monolith... 🏜️◼️ https://t.co/0RlY1OEYqY","2020-11-26 16:33 +0000","1826.0","22.0","0.012048192771084338","0.0","0.0","13.0","0.0","0.0","0.0","9.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331720252133044226","https://twitter.com/__mharrison__/status/1331720252133044226","@chrisalbon Sadly, there is nothing better for PDF generation right now... 🤷‍♀️","2020-11-25 22:03 +0000","1501.0","29.0","0.019320453031312457","0.0","2.0","9.0","2.0","0.0","0.0","16.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331718737238532096","https://twitter.com/__mharrison__/status/1331718737238532096","@mattragland Check out this setup. In particular, the teleprompter might be interesting to you as you see to be doing a version of it in this pic. https://t.co/3GlV4NV1op","2020-11-25 21:57 +0000","209.0","3.0","0.014354066985645933","0.0","0.0","1.0","0.0","2.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331718351492583424","https://twitter.com/__mharrison__/status/1331718351492583424","@mattragland Just use the Webcam software, much easier than CamLink","2020-11-25 21:56 +0000","254.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331614062350766083","https://twitter.com/__mharrison__/status/1331614062350766083","Use code EARLYBIRD for 50% this week
https://t.co/uXvcWRhgHQ","2020-11-25 15:01 +0000","921.0","112.0","0.12160694896851248","0.0","0.0","2.0","3.0","94.0","0.0","13.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331613931320721409","https://twitter.com/__mharrison__/status/1331613931320721409","We will meet for 2 hours each day to discuss things like:
🐍 Optimizing your code
🐍 Productivity
🐍 Virtual Environments
🐍 Poetry
🐍 Project Layout
🐍 Test Driven Development (TDD)
🐍 pytest
🐍 Generators
🐍 Fixtures
🐍 3rd Party Libraries
🐍 Mocking
🐍 and more...","2020-11-25 15:01 +0000","1302.0","48.0","0.03686635944700461","1.0","2.0","4.0","2.0","0.0","0.0","36.0","0.0","0","0","0","0","0","3","3","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331613808855433218","https://twitter.com/__mharrison__/status/1331613808855433218","I'm excited to announce a new format I'm trying out. Many have said they want more advanced Python content. Many have said they want more interaction. On that note, I'm presenting Modern Python Workshop. https://t.co/T8O7FRrisp","2020-11-25 15:00 +0000","3981.0","485.0","0.12182868625973374","2.0","2.0","29.0","16.0","3.0","0.0","280.0","0.0","0","0","0","0","0","153","153","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331467536483840001","https://twitter.com/__mharrison__/status/1331467536483840001","@kenjilopezalt Can you scale this down to say 6? 😉","2020-11-25 05:19 +0000","4449.0","44.0","0.009889862890537199","0.0","2.0","2.0","9.0","0.0","0.0","31.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331467008135688192","https://twitter.com/__mharrison__/status/1331467008135688192","@arihersh @ahl @gedamore Someone just needs to port Asciidoctor 🐍","2020-11-25 05:17 +0000","210.0","13.0","0.06190476190476191","0.0","2.0","2.0","2.0","0.0","0.0","7.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331465834326179841","https://twitter.com/__mharrison__/status/1331465834326179841","Ouch. Talk about limitations inspiring creativity... 🤯📊 https://t.co/QfBJMFAPUp","2020-11-25 05:12 +0000","1685.0","31.0","0.018397626112759646","1.0","0.0","10.0","0.0","0.0","0.0","20.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331312301962522629","https://twitter.com/__mharrison__/status/1331312301962522629","How Do I Get An Internship As A First Year CS Student? https://t.co/UKVP0UPKiu","2020-11-24 19:02 +0000","1298.0","21.0","0.016178736517719568","0.0","0.0","4.0","3.0","13.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331300566476079107","https://twitter.com/__mharrison__/status/1331300566476079107","@mickdarling @cheddarmint @bascule And no, the VNC clients are not as good.","2020-11-24 18:16 +0000","603.0","12.0","0.01990049751243781","0.0","1.0","0.0","6.0","0.0","0.0","4.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331300434548383746","https://twitter.com/__mharrison__/status/1331300434548383746","@mickdarling @cheddarmint @bascule It is. I'm just saying that the experience of using the Mac Remote Desktop app is superior to syn/barrier even if I don't get to leverage the extra monitor.","2020-11-24 18:15 +0000","615.0","6.0","0.00975609756097561","0.0","1.0","1.0","2.0","0.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331298130596298752","https://twitter.com/__mharrison__/status/1331298130596298752","@vinayw @bascule Yes, I already have that, and am doing it. I need help with the top of the desk.","2020-11-24 18:06 +0000","82.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331297916741271552","https://twitter.com/__mharrison__/status/1331297916741271552","@cheddarmint @bascule Yes (from Win to Mac). Previously, when I was on the Mac full(ish)-time, I used the MS remote desktop for Mac. This latter product is amazing, wish there was something similar for Windows... 😌","2020-11-24 18:05 +0000","938.0","7.0","0.007462686567164179","0.0","1.0","0.0","5.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331284094026616833","https://twitter.com/__mharrison__/status/1331284094026616833","@gabegundy I find that peeling away what is underneath causes me to like the music more (or sometimes turn away from it)...","2020-11-24 17:10 +0000","289.0","4.0","0.01384083044982699","0.0","2.0","1.0","0.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331282907910946820","https://twitter.com/__mharrison__/status/1331282907910946820","@vinayw @bascule Not the first person to say that. Any recommendations?","2020-11-24 17:05 +0000","469.0","7.0","0.014925373134328358","0.0","1.0","1.0","2.0","0.0","0.0","2.0","0.0","0","0","0","0","0","1","1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331278738030358528","https://twitter.com/__mharrison__/status/1331278738030358528","@dataandme Sorry for the jargon. Pizza!","2020-11-24 16:49 +0000","174.0","5.0","0.028735632183908046","0.0","1.0","1.0","0.0","0.0","0.0","3.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331240779927285760","https://twitter.com/__mharrison__/status/1331240779927285760","Creation platforms are doing themselves and creators a disservice by not implementing PPP! 🤔😔 https://t.co/ZjglcECQPZ","2020-11-24 14:18 +0000","4259.0","20.0","0.0046959380136182205","0.0","2.0","7.0","1.0","0.0","0.0","10.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331104833542111232","https://twitter.com/__mharrison__/status/1331104833542111232","@nlsanders @prempv I know some good recruiters in Utah 😉","2020-11-24 05:18 +0000","399.0","7.0","0.017543859649122806","0.0","0.0","0.0","6.0","0.0","0.0","1.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331080840915292161","https://twitter.com/__mharrison__/status/1331080840915292161","This has wonderful time management tips. Thanks @swyx 
https://t.co/tZIhp4g87r","2020-11-24 03:42 +0000","1116.0","48.0","0.043010752688172046","0.0","0.0","6.0","4.0","36.0","0.0","2.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331064238350114817","https://twitter.com/__mharrison__/status/1331064238350114817","@fulhack Any good links/tips for rhizomes? 🤔🌿","2020-11-24 02:36 +0000","509.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331063724560371714","https://twitter.com/__mharrison__/status/1331063724560371714","@TheBeehiveHQ 😔","2020-11-24 02:34 +0000","35.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331063476140195842","https://twitter.com/__mharrison__/status/1331063476140195842","@TheBeehiveHQ You know what shirt I'm gonna ask for 😉","2020-11-24 02:33 +0000","269.0","2.0","0.007434944237918215","0.0","1.0","0.0","1.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1331063005879037954","https://twitter.com/__mharrison__/status/1331063005879037954","@nhumrich Good one","2020-11-24 02:32 +0000","64.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0","0","0","0","0","0","0","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
